"FoodName";"Calories";"Cost";"Gluten";"Seafood"
"Ceasar Salad";660;20;0;1
"Chicken Prosciutto";760;24;0;1
"Chicken Riggies";770;24;0;1
"Chicken Sinatra";800;26;0;1
"Cicken Marsala";690;24;1;1
"Fettuccine Alfredo";710;23;0;1
"Filet Marsala";780;31;0;1
"Filet Mignon";800;41;0;1
"Filet Portabella";690;31;0;1
"Frutti De Mare";790;30;1;0
"Linguine With Clam Sauce";700;25;0;0
"New York Strip";910;41;0;1
"One Pound Lasagna";940;24;0;1
"Pasta with Marinara";700;20;0;1
"Pasta with Meatballs";730;21;0;1
"Pork Chop";830;26;0;1
"Ravioli Tre Modi";740;21;0;1
"Salmon";750;29;0;0
"Shrimp Scampi";740;29;0;0
"Sirloin Steak";830;28;0;1
"Top Shelf Hamburger";760;17;0;1
"Tortelini Aglio Olio";690;22;0;1
"Veal Marsala";790;29;1;1
"Veal Parmigana";770;29;0;1
