"FoodName";"Calories";"Cost";"Gluten";"Seafood"
"Baked Potato";300;5;1;1
"Cold Water Lobster Tail";400;40;0;0
"French Fries";290;6;1;1
"Garlic Mashed Potatoes";220;5;1;1
"Grilled Onions";200;4;1;1
"Homemade Italian Sausage";310;7;0;1
"Homemade Meatballs";280;7;0;1
"Hot Cherry Peppers, Mushrooms and Onions";270;5;0;1
"House Salad";250;6;0;1
"Sauteed Mushrooms";260;5;1;1
"Sauteed Shrimp";290;6;0;0
"Small Gorgonzola Wedge";270;7;0;1
"Small Tomato Cucumber Salad";230;5;0;1
"Steamed Asparagus";160;5;1;1
"Steamed Broccoli";190;5;1;1
"Tomato and Mozarella Salad";250;8;0;1
